project,direct_dependencies_bloated_count,direct_dependencies_bloated_loc,direct_dependency_files_bloated_count,direct_dependency_files_bloated_loc,direct_dependency_functions_bloated_count,direct_dependency_functions_bloated_loc,direct_dependencies_used_count,direct_dependencies_used_loc,direct_dependency_files_used_count,direct_dependency_files_used_loc,direct_dependency_functions_used_count,direct_dependency_functions_used_loc,transitive_dependencies_bloated_count,transitive_dependencies_bloated_loc,transitive_dependency_files_bloated_count,transitive_dependency_files_bloated_loc,transitive_dependency_functions_bloated_count,transitive_dependency_functions_bloated_loc,transitive_dependencies_used_count,transitive_dependencies_used_loc,transitive_dependency_files_used_count,transitive_dependency_files_used_loc,transitive_dependency_functions_used_count,transitive_dependency_functions_used_loc
django-tenants/django-tenants,0,0,755,102875,8061,94770,1,149210,114,46335,465,8142,2,6933,30,7905,439,4640,1,1737,2,765,6,86
benvanwerkhoven/kernel_tuner,0,0,650,301378,10153,270965,4,395642,68,94264,407,18695,5,16100,79,16100,666,11760,0,0,0,0,0,0
fedora-python/pyp2rpm,0,0,96,41751,2561,34778,3,51901,13,10150,68,1137,1,367,2,367,34,212,0,0,0,0,0,0
rollbar/pyrollbar,0,0,11,1243,283,4027,2,6433,8,5190,14,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
lektor/lektor,1,177830,562,197566,7643,117738,9,44062,41,24326,188,4067,8,65187,268,87417,5472,74939,8,53828,42,31598,217,4584
mininet/mininet,0,0,67,27296,1377,18496,1,27538,1,242,3,21,0,0,0,0,0,0,0,0,0,0,0,0
spotdl/spotify-downloader,0,0,1,5,184,2575,1,3709,5,3704,23,530,11,67280,226,87530,4179,65449,3,27987,20,7737,119,2624
serhatbolsu/robotframework-appiumlibrary,1,43097,943,231902,14151,129270,5,198127,24,9322,105,1381,13,77492,233,77492,3305,54517,0,0,0,0,0,0
matthewgilbert/pdblp,0,0,150,52989,4602,103424,1,161148,80,108159,817,27177,3,8641,254,106074,4115,97027,2,136621,31,39188,111,5155
tilezen/vector-datasource,4,2816,60,8835,459,6493,4,8790,8,2771,33,1083,18,121159,990,387553,17574,316190,7,317969,98,51575,234,3728
tilezen/tilequeue,6,37856,597,194479,9905,151379,7,166782,20,10159,80,1633,11,64556,468,223682,7853,166237,3,172304,17,13178,64,1879
hfaran/slack-export-viewer,0,0,29,77736,850,13521,4,92795,16,15059,141,3303,4,3426,87,30966,2096,26702,3,38045,15,10505,49,1204
mozilla/mozilla-django-oidc,0,0,824,126824,8668,104014,3,156924,73,30100,245,4114,8,48646,259,103624,5247,71179,4,58090,8,3112,25,334
miketeo/pysmb,0,0,45,6293,726,7431,2,15871,20,9578,129,2614,0,0,0,0,0,0,0,0,0,0,0,0
hdfgroup/hsds,1,2636,164,32538,2772,30464,9,47214,31,17312,128,2582,11,40822,477,206605,10171,182542,12,224214,63,58431,340,7257
hdfgroup/h5pyd,4,11813,270,122970,4148,104211,2,135016,14,23859,49,1808,27,195629,869,234846,9675,135842,4,44536,13,5319,23,381
antonagestam/collectfast,0,0,873,149478,8709,104588,2,151724,8,2246,12,239,3,8670,32,8670,445,4725,0,0,0,0,0,0
jbarlow83/ocrmypdf,1,290,277,87757,5370,75724,7,142392,71,54925,630,12188,6,51544,172,60903,3575,40813,2,11294,4,1935,13,483
ipython/ipython,2,3523,323,113889,2612,28062,6,144902,87,34536,488,8677,3,3303,142,33897,3041,35587,7,66589,76,35995,449,7907
ipython/ipykernel,1,121383,403,161279,8091,124615,6,79582,72,39686,329,6876,15,98046,720,241690,8420,105013,10,165484,45,21840,301,5280
rq/rq,0,0,65,29254,2022,27459,2,38276,14,9022,83,1938,1,247,1,247,19,154,0,0,0,0,0,0
geopython/owslib,1,2636,77,22550,1247,18746,4,26084,11,6170,52,1271,3,16103,53,26116,703,18547,2,12174,3,2161,4,79
geopython/pywps,0,0,382,166224,13354,188281,9,310809,112,144585,691,17001,20,78729,465,212353,7920,169208,9,183015,47,49391,201,4900
sphinx-gallery/sphinx-gallery,0,0,164,63654,4105,45265,1,65411,6,1757,10,93,21,206824,620,245505,6127,95896,1,43097,4,4416,11,117
roastero/openroast,0,0,39,5240,301,3638,2,5941,4,701,31,151,7,165165,303,165165,5095,117721,0,0,0,0,0,0
xmendez/wfuzz,1,998,51,46205,793,10143,3,54984,28,9777,77,1124,0,0,0,0,0,0,0,0,0,0,0,0
nexb/aboutcode-toolkit,1,124,153,24284,2336,28696,5,59301,100,35141,433,6747,1,367,23,5506,521,6455,4,10570,10,5431,57,1627
westpa/westpa,1,8824,1162,500543,21007,472321,11,756657,225,264938,1657,62117,36,508579,1720,625711,28191,389908,11,200716,65,83584,803,13785
yandex/yandex-tank,4,26184,892,307221,14761,205355,14,330763,76,49726,356,6958,11,63477,544,209107,8261,164586,5,184571,30,38941,164,5074
mottosso/qt.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flav-io/flavio,0,0,812,361307,12215,306936,8,452048,86,90741,574,24849,6,18540,311,181144,6315,140730,6,164862,6,2258,28,517
hyperspy/hyperspyui,2,4219,1126,194702,10504,161872,4,253756,117,63273,325,7983,62,945728,5194,2118147,83482,1434973,33,1524305,385,351886,2418,67044
python-cmd2/cmd2,0,0,7,7045,64,641,2,7655,3,610,8,287,1,5459,19,5459,192,4265,0,0,0,0,0,0
achael/eht-imaging,1,1153,1520,542694,25800,561155,8,930604,306,389063,2488,87914,30,393790,1859,657077,21208,421485,13,324799,40,61512,140,5207
bastibe/python-soundfile,0,0,9,3594,433,4101,1,8157,7,4563,124,2216,1,1615,17,9955,702,8610,1,10963,3,2623,3,153
ucfopen/canvasapi,1,2636,17,3585,370,5364,2,15535,17,14586,106,2616,3,5725,61,28839,956,23007,3,30168,13,7054,55,1519
duosecurity/duo_client_python,1,998,68,28294,1438,18859,1,27538,1,242,3,21,0,0,0,0,0,0,0,0,0,0,0,0
tock/tockloader,1,1822,78,9925,827,10835,6,19152,30,11049,160,3618,1,6398,99,22311,2028,23499,1,40667,50,24754,160,3708
broadinstitute/fiss,4,92223,308,92223,3554,63325,0,0,0,0,0,0,25,175149,644,175149,6144,94498,1,998,1,998,5,59
graphite-project/carbonate,0,0,51,6097,449,5044,2,9907,11,3810,67,1049,12,221255,655,248345,13512,163686,3,30065,5,2975,45,662
graphite-project/whisper,0,0,0,0,60,361,1,998,1,998,1,2,0,0,0,0,0,0,0,0,0,0,0,0
fireeye/flare-floss,0,0,343,120702,6233,71756,4,138491,29,17789,234,4411,15,189158,651,205129,4872,66447,4,41725,36,25754,187,5155
fmfn/bayesianoptimization,0,0,219,103688,3743,96731,1,133985,19,30297,37,1495,1,1,1,1,0,0,0,0,0,0,0,0
jaegertracing/jaeger-client-python,0,0,5,352,46,330,1,512,1,160,3,28,0,0,19,11460,1058,15249,2,24552,16,13092,66,1539
lonamiwebs/telethon,0,0,9,1153,90,1664,1,2805,5,1652,10,247,1,11497,33,11497,632,6660,0,0,0,0,0,0
sys-bio/tellurium,1,29250,2981,1177708,48196,1149501,16,1637195,207,488737,1585,59767,42,530451,1572,578079,22414,319396,10,72686,26,25058,124,2388
ptb-m4d/pydynamic,3,621184,1623,945214,27194,575186,2,381960,30,57930,129,6009,18,276821,997,352085,14126,256424,1,133985,45,58721,361,17209
twitterdev/twitter-python-ads-sdk,1,5923,49,12877,673,10630,2,8967,2,2013,29,928,12,55345,259,86888,3628,60955,4,35506,5,3963,53,805
cog-creators/red-discordbot,6,19692,613,196188,7254,102605,19,241668,113,65172,523,11021,7,95924,365,163452,6446,108485,11,94960,39,27432,160,2776
projectq-framework/projectq,0,0,872,457306,11940,332257,4,489215,36,31909,146,4582,11,145947,690,262964,11094,206394,5,184891,55,67874,348,16185
jupyter/kernel_gateway,0,0,95,13409,1022,15419,3,22218,15,8809,27,467,72,569989,1976,636201,26188,367161,12,95279,46,29067,239,5522
jupyter/terminado,0,0,23,10993,1010,15676,2,24549,15,13556,92,1808,0,0,0,0,0,0,0,0,0,0,0,0
jupyter/nbgrader,5,80837,595,215083,15082,221228,5,276636,99,142390,707,16629,80,534734,1904,599437,25103,344762,13,93588,48,28885,214,4994
aliyun/aliyun-oss-python-sdk,1,998,247,56579,3404,38742,4,66951,34,11370,116,2125,5,35467,159,59309,3243,42922,3,30296,9,6454,77,1467
whynothugo/django-mercadopago,3,9249,864,129461,8826,106588,2,149596,60,29384,193,3227,7,27918,178,67192,2885,47872,4,45886,13,6612,53,895
armmbed/mbed-cli,0,0,21,4236,437,5835,2,10961,15,6725,64,1205,16,99203,352,99203,3757,59939,0,0,0,0,0,0
snok/django-auth-adfs,0,0,859,125554,9658,109759,4,174477,112,48923,504,9571,6,30780,115,50793,2293,35938,3,24765,12,4752,50,923
pyhdi/pyverilog,0,0,27,13363,867,12493,2,19948,4,6585,82,1926,1,367,2,367,34,212,0,0,0,0,0,0
milibris/flask-rest-jsonapi,0,0,215,121481,10321,144149,4,241301,73,119820,541,12183,10,33862,140,58925,3035,40262,2,25942,1,879,1,13
goshippo/shippo-python-client,0,0,48,4703,472,5998,2,10024,14,5321,36,1117,3,15936,59,26261,704,18282,1,11652,3,1327,4,82
atlassian-api/atlassian-python-api,1,998,79,14633,686,12855,3,17867,11,4232,19,423,3,16103,70,28687,874,20503,3,14442,5,1858,10,241
picklepete/pyicloud,1,1596,58,12822,886,11343,4,19212,21,7986,143,2695,10,51275,189,71478,3832,50343,3,24135,11,3932,45,846
radio-astro-tools/spectral-cube,0,0,537,143074,9480,186580,5,297898,132,154824,1037,33776,8,23419,769,340766,12718,318869,6,437019,75,119672,536,24223
donnemartin/saws,1,38449,578,165283,4866,52716,4,151925,61,25091,307,7244,11,133100,345,133457,7013,81862,1,767,2,410,5,92
sripathikrishnan/redis-rdb-tools,0,0,61,21994,1614,22138,1,28146,2,6152,2,20,2,3062,13,3062,314,2260,0,0,0,0,0,0
pahaz/sshtunnel,0,0,32,10865,820,13186,1,20421,14,9556,113,2193,5,43358,137,43358,2674,29095,0,0,0,0,0,0
adamalton/django-csp-reports,0,0,837,133794,8435,101473,1,149210,32,15416,90,1457,2,6933,31,8025,440,4631,1,1737,1,645,5,77
colinhiggs/pyramid-jsonapi,1,438,235,112985,11030,148534,6,258482,123,145935,783,20483,21,58491,337,93307,5541,68779,5,47183,11,12367,61,1463
scrapy/parsel,1,1668,58,14521,890,10789,4,14759,4,1906,10,347,0,0,0,0,0,0,0,0,0,0,0,0
scrapy/scrapy,3,3719,457,113292,12304,134137,6,219203,147,109630,697,11632,16,97832,415,125844,5123,70273,11,36194,18,8182,102,2349
scrapy/scrapyd,1,4063,510,116946,10907,118368,2,187969,107,75086,431,6998,29,143012,585,185235,8380,107939,5,44129,5,1906,27,397
trufont/trufont,0,0,86,12401,1500,18938,6,30532,42,18131,234,2722,7,9340,418,140093,6949,97116,3,154583,37,23830,257,3984
jrnl-org/jrnl,1,14545,206,55864,3658,45557,8,64415,57,23096,256,5520,8,34722,389,151985,3095,38028,3,119502,5,2239,11,115
tmux-python/tmuxp,1,882,30,6874,618,8034,2,11208,13,5216,32,792,0,0,0,0,0,0,0,0,0,0,0,0
grigorig/stcgal,0,0,45,6721,572,7384,2,12884,15,6163,61,1226,0,0,0,0,0,0,0,0,0,0,0,0
qquick/transcrypt,0,0,114,79897,4709,65724,1,89175,15,9278,110,3324,2,3285,4,3306,187,1801,1,819,2,798,36,585
charnley/rmsd,0,0,637,305184,10003,272998,2,390953,59,85769,332,15048,0,0,0,0,0,0,0,0,0,0,0,0
rst2pdf/rst2pdf,0,0,552,197419,7212,88292,6,261279,89,63860,752,14763,2,781,97,25394,1356,21875,2,32599,10,7986,31,783
kenfar/datagristle,3,25752,423,213432,13398,183411,9,246161,49,58481,162,4667,20,168855,546,220800,12212,150657,5,69069,17,17124,67,1480
uw-hydro/rvic,1,987,757,419337,14257,344931,3,543108,90,124758,920,30476,11,130171,670,246784,10573,188176,5,176351,53,59738,312,14008
bjodah/chempy,1,4266,1673,899832,26229,547620,9,993563,94,97997,510,16354,89,831858,2533,864545,34450,502856,2,38632,4,5945,16,535
bjodah/pyodesys,2,15463,1656,887502,25950,541321,4,969494,76,97455,376,16145,90,856017,2454,856017,33736,493055,0,0,0,0,0,0
datadog/datadogpy,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
geospace-code/georinex,0,0,259,106700,6055,142722,4,219141,90,112441,679,23089,4,667,189,50848,4923,100098,5,169943,97,119762,1002,32401
vijos/vj4,0,0,150,42446,3425,41807,13,71111,47,28665,251,5542,13,92570,380,140095,5316,77244,9,60678,32,13153,128,2386
bumps/bumps,0,0,0,0,60,351,1,998,1,998,1,12,0,0,0,0,0,0,0,0,0,0,0,0
ebroecker/canmatrix,1,998,258,52564,2588,35471,3,55893,3,4327,5,109,0,0,0,0,0,0,0,0,0,0,0,0
bluesky/bluesky,1,308,67,7717,652,8390,6,15457,12,8048,85,1785,9,18317,293,117250,4781,108073,2,137057,20,38124,85,3897
bluesky/ophyd,0,0,596,226651,7689,204350,4,268758,30,42107,111,5261,1,3072,1,3072,162,1687,0,0,0,0,0,0
translate/translate,0,0,26,6258,326,4397,1,7110,2,852,6,94,6,38352,85,40635,1344,28330,1,4603,6,2320,29,1181
pypsa/atlite,2,4734,1068,415201,21049,507688,14,769286,301,358819,2659,89686,21,71445,381,131986,6244,92135,8,70293,17,9752,88,2194
hhatto/autopep8,0,0,2,21,63,1597,2,3551,3,3530,67,1354,0,0,0,0,0,0,0,0,0,0,0,0
explosion/thinc,5,1140,139,47175,2501,35123,4,49337,7,3302,40,682,1,3072,248,115559,4578,104652,3,148070,20,35583,100,4019
esgf/esgf-pyclient,0,0,60,26355,1753,23521,5,37100,20,10745,131,2726,12,41223,247,82336,4480,60982,5,50943,15,9830,88,1688
plotly/dash,1,3072,1793,642178,14125,488826,6,660115,23,21009,79,1940,13,49002,179,73655,3576,55426,4,34345,11,9692,25,675
wwood/singlem,0,0,613,311962,12270,261444,4,461113,111,149151,1002,33557,38,665124,2564,942874,37525,659292,10,480817,142,203067,948,28424
man-group/arctic,4,6789,20,7781,363,4751,2,2145,3,1153,10,260,0,0,14,2250,323,4754,2,8614,5,6364,41,1509
stphivos/django-mock-queries,1,15925,936,160804,9525,114180,2,151041,16,6162,38,848,3,9569,37,10661,521,5763,1,1737,1,645,5,77
scikit-tda/kepler-mapper,0,0,272,177786,4144,127485,2,187768,7,9982,26,595,2,1438,704,356432,10899,289503,3,406246,42,51252,217,9617
sanic-org/sanic,1,54,62,11147,608,10675,7,17012,22,5919,87,1896,0,0,0,0,0,0,0,0,0,0,0,0
bids-standard/pybids,0,0,1104,478488,26021,532227,9,842026,302,363538,2240,73656,9,18867,106,21444,1214,12175,2,5708,2,3131,3,65
quantopian/qgrid,1,14473,258,70265,5595,115968,2,167402,89,111610,833,27683,83,590692,2223,745387,29666,454715,4,197685,31,42990,159,6290
salsita/shishito,3,19728,647,164979,9183,98160,4,159361,38,14110,111,1812,18,79891,341,112474,5638,83871,3,41851,13,9268,72,1101
tchellomello/python-amcrest,2,4894,23,6699,442,6757,1,5435,8,3630,15,269,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
openwateranalytics/pyswmm,2,16187,9,16187,267,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobrateam/splinter,0,0,37,10945,458,7306,1,11652,2,707,2,11,0,0,0,0,0,0,0,0,0,0,0,0
pyspeckit/pyspeckit,0,0,555,219095,9533,178707,2,327593,81,108498,562,19241,8,134769,649,234617,10932,208360,6,196617,64,96769,479,20987
nipy/nibabel,0,0,203,77880,3623,86429,2,138048,49,60168,349,14789,0,0,0,0,0,0,0,0,0,0,0,0
tensorlayer/tensorlayer,0,0,412,145578,5275,155498,8,274971,124,129393,1142,41246,9,148780,1114,471963,14900,406756,7,462190,116,139007,740,35848
ethereum/py-evm,2,200,68,5685,532,4999,5,10310,21,4825,117,1404,7,65763,241,66260,3092,40932,2,2078,16,1581,46,467
tulip-control/polytope,0,0,923,431700,12227,366086,3,492773,48,61073,215,10583,0,0,0,0,0,0,0,0,0,0,0,0
weaverba137/pydl,0,0,869,354714,12955,316205,2,459569,68,104855,504,16278,11,174399,801,351479,14171,265198,4,281979,69,104899,427,18906
pycontribs/jira,1,3072,37,8573,461,5861,3,6464,4,963,13,244,3,16590,154,39994,1334,30094,4,31796,21,8392,138,2843
cwacek/python-jsonschema-objects,0,0,38,5923,631,7611,4,13306,16,7383,48,669,5,7511,38,8044,441,6245,1,1583,2,1050,7,59
graphbrain/graphbrain,1,25,1074,411285,11487,328043,9,515025,91,103765,522,21352,42,331886,1621,622955,21519,390704,7,326377,29,35308,111,2768
fabfuel/ecs-deploy,0,0,331,80567,4613,59757,4,93051,19,12484,112,1798,6,26559,112,44771,1964,35194,3,24703,11,6491,18,355
nschloe/pygmsh,0,0,83,15011,368,12273,1,15805,4,794,10,208,3,124402,642,243349,5591,124484,2,160351,48,41404,202,6614
nschloe/tikzplotlib,1,1268,134,90708,2986,51298,1,124992,29,35552,224,4008,8,129204,640,245366,10505,191342,4,174355,50,58193,290,12982
nschloe/meshio,0,0,249,99142,4307,98219,2,160351,67,61209,345,14125,3,124402,374,124402,1141,18754,0,0,0,0,0,0
zulko/moviepy,0,0,40,18363,1057,20087,2,33226,9,14863,62,2404,6,37088,407,156644,5872,137243,2,165001,30,45445,179,7825
xgcm/xgcm,0,0,347,81561,6414,127500,3,193826,90,112265,836,21424,10,27997,498,172802,10823,214751,6,323711,152,178906,1405,51384
xgcm/xrft,0,0,579,296933,11088,292887,3,410490,91,113557,862,21899,10,27997,486,156036,10726,209210,6,323711,164,195672,1503,56638
home-assistant-ecosystem/home-assistant-cli,1,14545,360,98691,3739,46007,8,102949,32,18803,176,3808,11,24653,166,58524,2669,50032,11,56274,37,22403,396,6032
home-assistant-ecosystem/python-mystrom,0,0,122,47620,3183,40481,4,63285,25,15665,152,3021,4,4859,75,27881,980,23079,6,30455,11,7433,70,1285
oemof/feedinlib,0,0,247,109018,4079,113747,2,162507,40,53489,239,9454,10,46902,741,353499,12672,320389,3,420752,88,114155,903,29677
oemof/demandlib,0,0,350,143119,8131,192731,2,295133,118,152014,1071,36102,3,8641,46,11218,445,3929,1,2636,1,59,1,21
sassoftware/python-swat,0,0,143,40089,4514,97593,2,166583,105,126494,1145,36943,3,12246,299,127751,4720,115017,6,160295,41,44790,152,5417
languitar/autosuspend,0,0,1,232,450,5565,1,10181,9,9949,94,1264,0,0,0,0,0,0,0,0,0,0,0,0
bundlewrap/bundlewrap,0,0,186,51498,4167,48821,9,86545,63,35047,413,7324,6,35590,88,45603,1874,32105,1,11176,2,1163,3,77
sebp/scikit-survival,0,0,207,67355,5631,116295,5,181612,89,114257,893,28789,4,9712,683,323571,10414,272745,3,393589,61,79730,425,19467
pwr-solaar/solaar,0,0,100,25106,1679,19111,5,44063,29,18957,129,2259,0,0,0,0,59,337,1,998,1,998,2,4
borda/birl,1,587,1350,537727,26706,554935,13,885158,234,348018,1819,68478,15,268944,776,309264,10278,211625,6,59245,19,18925,59,1993
finat/finat,0,0,1008,556354,15741,300092,2,587534,16,31180,62,2469,1,47859,59,48080,1373,31639,1,501,1,280,2,170
koenedaele/skosprovider,0,0,29,7613,597,5673,2,14037,9,6424,125,2594,4,9971,40,10739,579,6638,1,1110,1,342,3,55
ccrisan/motioneye,0,0,211,74516,5389,62721,4,93746,25,19230,149,3126,1,367,2,367,34,14,0,0,0,0,0,0
dr-prodigy/python-holidays,0,0,16,5914,274,4964,1,7616,2,1702,29,936,0,0,0,0,60,361,1,998,1,998,1,2
taspinar/twitterscraper,3,8906,71,14508,1258,14615,2,14893,18,9291,101,1278,5,26964,70,36977,1123,26140,1,11176,2,1163,3,77
xknx/xknx,0,0,65,14056,1264,10787,2,18170,13,4114,44,498,2,19120,33,19120,1210,13894,1,247,1,247,6,69
tmancal74/quantarhei,0,0,803,403208,13659,326296,7,533273,112,130065,645,29039,7,125141,444,162675,6987,104769,4,44433,8,6899,28,1013
sunscrapers/djoser,1,91,58,2825,198,1393,2,3277,4,543,8,50,15,105480,1399,244479,15147,188345,5,183149,104,44150,406,6579
fizzadar/pyinfra,0,0,372,93431,7355,87519,10,146702,88,53271,532,10503,12,59313,248,89910,4619,62853,6,41847,27,11250,87,1420
scrapy-plugins/scrapy-zyte-smartproxy,0,0,169,21992,1526,15300,1,22225,1,233,1,11,34,327896,1034,356604,18209,218404,2,29136,3,428,6,68
entilzha/pyfunctional,1,2721,15,6682,304,5759,1,5996,1,2035,8,92,2,1847,6,1847,123,1404,0,0,0,0,0,0
gandi/gandi.cli,0,0,94,34106,2315,32076,4,49026,26,14920,137,2278,3,16103,53,26116,643,18126,1,11176,2,1163,3,77
novnc/websockify,0,0,233,120821,3771,98076,1,133985,5,13164,9,150,0,0,0,0,0,0,0,0,0,0,0,0
vericast/spylon-kernel,0,0,95,13614,888,12208,3,18324,11,4710,45,733,27,357706,1235,456737,17390,244779,7,112934,24,13903,85,1820
flyingrub/scdl,0,0,131,21880,1627,18527,7,32299,22,10419,96,1355,7,25713,83,35726,1091,24964,1,11176,2,1163,3,77
django-salesforce/django-salesforce,0,0,778,102567,8375,99875,3,157281,115,54714,470,8085,5,23036,83,34021,1082,22786,2,12913,4,1928,9,163
ppb/pursuedpybear,0,0,61,10975,824,11336,3,22968,20,11993,64,1453,0,0,4,1374,181,1099,1,1915,1,541,5,112
spacetelescope/imexam,0,0,1191,522253,19385,446934,4,718546,141,196293,1046,39290,8,131064,465,168669,7591,129086,5,66337,10,28732,35,1277
spacetelescope/gwcs,0,0,1011,378389,14584,339026,4,489104,81,110715,493,16106,12,23628,297,95202,5492,121587,3,161812,64,90238,407,17388
spacetelescope/drizzlepac,2,7703,2098,592957,24554,562616,14,938222,362,352968,2388,87438,47,519608,2100,813501,38941,687340,20,592518,229,298625,2049,73093
spacetelescope/pysynphot,1,998,439,144563,6862,135328,2,209547,51,65982,407,13296,2,9838,238,96319,4526,119821,3,159952,44,73471,236,9293
theqrl/qrl,7,17900,154,42418,3622,40251,9,44618,27,20100,142,3310,33,210877,940,270106,12808,169658,5,80439,39,21210,117,1771
django-waffle/django-waffle,0,0,818,120429,8403,100921,1,149210,51,28781,132,2127,2,6933,31,8550,444,4581,1,1737,1,120,1,9
comictagger/comictagger,0,0,71,12347,781,12516,8,22667,24,10320,86,2224,6,20882,229,84408,3780,65861,5,78237,19,14711,45,1085
gregreen/dustmaps,0,0,1102,447162,17277,416647,7,618107,130,170945,898,34265,14,193450,688,318146,11658,205483,6,161670,16,36974,32,1020
g-node/nixpy,0,0,233,113886,3947,98336,3,140160,24,26274,81,3008,0,0,0,0,0,0,0,0,0,0,0,0
20c/vaping,2,31441,79,32731,1644,23542,3,3583,5,2293,24,487,13,116219,363,137910,6857,92119,4,27639,14,5948,30,647
kevin1024/vcrpy,1,1915,51,13647,1106,14330,4,19990,16,8258,37,730,1,11376,12,11630,184,9005,1,780,1,526,13,108
mopidy/mopidy-spotify,0,0,58,8704,627,7819,1,11287,9,2583,37,471,7,56096,229,103642,4923,73549,4,55525,21,7979,118,2502
evonove/mkm-sdk,0,0,17,5385,235,3913,1,5435,1,50,1,11,5,39142,137,40376,1092,27840,1,1351,1,117,1,38
wtforms/wtforms,0,0,0,0,32,187,1,367,2,367,3,114,0,0,0,0,0,0,0,0,0,0,0,0
sumpfork/dominiontabs,1,1486,137,54752,3293,44073,1,77042,22,23776,240,5918,16,79930,464,134116,6686,91302,2,58554,5,4368,13,269
posativ/isso,0,0,108,34063,2910,33374,5,68006,52,33943,432,10165,3,20118,39,21190,1316,14643,2,1477,2,405,7,121
pywr/pywr,1,29138,1059,407949,15135,404251,4,545313,135,166502,1132,37067,7,16452,346,115123,8801,146302,5,221988,89,123317,1070,26745
flasgger/flasgger,1,998,93,19773,1466,19292,5,27700,15,8925,40,1141,8,24389,127,47639,2821,38745,4,34309,20,11059,76,1509
bradleyg/django-s3direct,0,0,783,111990,8179,96800,1,149210,86,37220,348,6096,2,6933,30,7905,439,4656,1,1737,2,765,6,86
lyft/confidant,13,61857,726,208454,15081,173685,21,217568,142,70971,753,14852,26,112051,473,174901,9309,129301,9,83022,32,20172,147,2859
samuelcolvin/arq,0,0,73,31047,2090,28977,2,38276,6,7229,13,416,3,3330,4,3330,181,1845,0,0,0,0,0,0
samuelcolvin/grablib,1,14545,46,21375,1404,19982,2,15565,17,8735,120,2549,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
parallelssh/parallel-ssh,2,48,224,42087,3565,33767,1,60283,33,18244,130,2156,3,9331,90,34734,1876,22126,1,27538,5,2135,42,637
jupyter-widgets/ipyleaflet,1,746,36,5561,339,3919,2,7879,8,3064,37,700,33,417753,1301,480899,18350,256769,4,70220,12,7074,74,1577
thenaterhood/gscreenshot,0,0,90,26605,1154,20929,1,31016,4,4411,15,528,0,0,0,0,0,0,0,0,0,0,0,0
veeresht/commpy,0,0,1588,897997,25217,532250,4,969494,51,71497,327,14244,11,191945,548,224632,9080,146165,2,38632,4,5945,16,535
smartsheet-platform/smartsheet-python-sdk,1,3809,61,10898,749,11179,3,14049,10,6960,46,1183,2,15979,52,26008,642,18163,2,11300,3,1271,4,100
encode/django-rest-framework,0,0,760,99271,8094,95362,1,149210,109,49939,435,7594,2,6933,33,8276,509,5429,2,4373,5,3030,17,337
cuthbertlab/music21,2,9125,258,176135,4427,73009,4,182837,32,15827,79,1469,15,196853,739,312112,11636,225862,2,139313,9,24054,24,1056
pyfilesystem/pyfilesystem2,0,0,67,27296,1452,19309,3,29144,3,1848,8,44,0,0,0,0,0,0,0,0,0,0,0,0
googlecloudplatform/perfkitbenchmarker,0,0,90,33791,2440,32706,3,53304,25,19513,238,4321,30,318577,1923,667451,30146,514696,25,590357,229,241483,1695,55816
jarun/buku,3,37829,115,37829,2267,23818,0,0,0,0,0,0,6,36319,78,36319,1871,24552,0,0,0,0,0,0
globocom/m3u8,0,0,2,285,9,63,1,447,1,162,3,74,0,0,0,0,0,0,0,0,0,0,0,0
safetyculture/safetyculture-sdk-python,3,9345,297,63660,3458,47142,7,73240,22,18925,198,6786,7,54809,163,64822,3247,44300,2,12174,3,2161,4,79
pallets-eco/flask-caching,0,0,22,8116,418,6891,2,9963,8,1847,25,378,6,14498,115,48848,2627,35013,2,37103,3,2753,7,128
beeware/briefcase,4,227232,691,243872,9773,147109,7,46102,57,29462,262,5504,21,137679,635,255365,4926,80009,4,120055,7,2369,51,779
mfussenegger/cr8,0,0,556,113017,2889,31624,6,126497,23,13480,101,3751,7,13701,63,26710,970,22673,4,19032,8,6023,38,806
insrapperswil/nuts,3,1023,106,23085,1891,23393,3,32428,22,10366,53,677,49,515053,1594,515053,25005,349171,0,0,0,0,0,0
datalad/datalad,2,2904,582,173116,7009,111406,15,200046,78,29834,310,6412,11,55084,216,74754,3892,51658,2,22552,9,2882,38,787
onelogin/python3-saml,1,543,39,9267,441,5947,2,9908,7,1184,9,381,1,998,1,998,61,363,0,0,0,0,0,0
onelogin/python-saml,0,0,8,751,64,522,1,1050,3,299,6,56,0,0,0,0,0,0,0,0,0,0,0,0
weaveworks/grafanalib,0,0,15,1090,182,4060,1,5459,4,4369,10,205,0,0,0,0,0,0,0,0,0,0,0,0
hadrieng/insilicoseq,1,787,1226,504139,17253,408285,6,612011,86,108659,422,17843,4,94886,168,104899,5469,78126,1,11176,2,1163,3,77
nucleic/atom,1,3072,1,3072,162,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geopy/geopy,0,0,5,488,28,553,1,2366,3,1878,36,1333,0,0,0,0,0,0,0,0,0,0,0,0
